time;ay (m/s^2)
4109288;0.0227
4117799;0.0426
4124646;0.0289
4134351;0.0226
4141302;0.0211
4150171;0.0220
4157608;0.0037
4166691;-0.0120
417284;-0.0040
4181595;-0.0150
4189334;-0.0069
4197678;0.0179
4205977;0.0209
4214734;0.0552
4221654;0.0728
4230108;0.1071
4238053;0.0937
4245749;0.1500
4253533;0.1492
4261726;0.1274
4268724;0.1034
4277879;0.0676
4287526;0.0265
4293919;0.0085
4302879;-0.0150
4309614;-0.0129
4317801;-0.0421
4325704;-0.0689
4334525;-0.1025
4341513;-0.0953
4350635;-0.1003
4357685;-0.0480
4367032;-0.0073
4373391;0.0841
4381227;0.1019
4389457;0.1399
4397563;0.1761
4405812;0.1552
4412717;0.1627
4421773;0.1651
4430049;0.1452
4437726;0.1342
4445848;0.1040
445359;0.0714
4460791;0.0294
4469201;-0.0098
447739;-0.0416
4486869;-0.0545
4493743;-0.0749
4501732;-0.0814
4509572;-0.0449
4518466;-0.0492
4525703;-0.0486
4534822;-0.0170
4541467;-0.0048
4551442;-0.0071
4557287;0.0051
4567528;0.0223
4573874;0.0421
4581722;0.0501
4590393;0.0488
4597953;0.0312
4605325;0.0454
4613838;0.0528
4622459;0.0535
4629937;0.0572
4637618;0.0895
4645514;0.0883
4652865;0.0919
466197;0.0836
46693;0.0633
4677739;0.0595
4688467;0.0695
4693984;0.0816
4702297;0.0644
4710002;0.0661
4718391;0.0461
4726002;0.0404
473492;0.0322
4741756;0.0407
4752738;0.0535
4757973;0.0372
476556;0.0394
4773258;0.0389
4781613;0.0280
4790057;0.0219
4797112;0.0323
4806074;0.0159
4813579;0.0302
4821955;0.0250
4829705;0.0292
4838149;0.0714
4845094;0.0727
4853716;0.0502
4861381;0.0593
4869291;0.0283
487784;-0.0091
4887855;-0.0101
4893874;-0.0126
4901279;0.0047
4909575;0.0031
4918399;0.0090
4926312;-0.0017
4935218;-0.0027
4940841;0.0173
4951585;0.0389
4957361;0.0551
4968003;0.0661
4973792;0.0864
4982122;0.1230
4989454;0.1075
4997697;0.1236
5005768;0.1066
5013684;0.0707
5022422;0.0425
5029486;0.0115
5037569;0.0233
504542;-0.0110
5053475;-0.0291
5061942;-0.0594
5069529;-0.0865
5078125;-0.1011
5089239;-0.0936
5094033;-0.1102
5102184;-0.0676
5109994;-0.0470
5118548;0.0165
5125777;0.0634
5135693;0.0871
5141707;0.1212
5151625;0.1349
5157814;0.1275
5165636;0.1585
5174226;0.1341
5181551;0.1213
5190035;0.1393
5198168;0.1498
5206217;0.1120
521345;0.0809
522173;0.0665
52293;0.0088
5237646;0.0128
5245346;-0.0101
5253522;-0.0285
5261432;-0.0233
5269645;-0.0539
5276945;-0.0128
5288573;-0.0358
52941;-0.0227
5302382;-0.0287
5309539;-0.0221
5318579;0.0086
5325556;0.0203
5335662;0.0635
5341865;0.0402
5351789;0.0457
5357594;0.0799
5368148;0.0805
5373505;0.0497
5381352;0.0426
539041;0.0285
5397672;0.0500
540602;0.0378
5415017;0.0230
5420768;0.0250
5429434;0.0223
544269;0.0054
5445315;-0.0015
5454291;-0.0060
5461837;-0.0128
5471359;-0.0029
5477781;0.0120
5485631;0.0218
5493608;0.0124
5505251;0.0027
5509341;-0.0024
5518407;0.0162
552577;0.0275
5536141;0.0415
5541321;0.0722
5551866;0.0816
5558312;0.0624
556448;0.0535
5574029;-0.0055
5581734;-0.0163
5590012;0.0279
5597629;0.0072
5606473;0.0080
5612989;0.0303
5621593;0.0452
5629494;0.0434
5637391;0.0176
5646018;0.0132
5653562;0.0113
566148;0.0072
5669399;0.0055
5677908;-0.0012
56883;0.0228
5694311;0.0300
5702385;0.0298
5708962;0.0439
5719069;0.0409
5725457;0.0206
5735358;0.0073
5741793;0.0372
5752154;0.0287
5757173;0.0325
5765514;0.0775
577398;0.0822
5781275;0.0876
5789737;0.1054
5797527;0.0681
5805005;0.0571
5813695;0.0768
5821752;0.0912
5829707;0.1050
5838141;0.1133
5845687;0.1045
585274;0.0624
5861741;-0.0056
5869329;-0.0612
5877759;-0.0930
5889303;-0.0723
5894537;-0.0497
5902771;0.0042
590963;0.0276
5919468;0.0756
5925457;0.0671
5935628;0.1143
5942382;0.1213
594884;0.1721
5957562;0.1863
5965201;0.2069
5973688;0.1758
598133;0.1626
5989651;0.1457
5996998;0.1234
6005815;0.1199
6013295;0.0635
6021561;0.0382
6029838;-0.0010
6038111;-0.0282
604475;-0.0767
6053709;-0.0654
6061478;-0.0562
6069195;-0.0560
607731;-0.0368
6089167;-0.0172
6092567;-0.0143
610228;0.0011
6109819;0.0000
6119227;0.0208
6125794;0.0733
6135885;0.0784
6141024;0.0961
6149419;0.1023
6157584;0.1041
6165308;0.1107
6173559;0.0935
618148;0.0932
6189282;0.0687
6197471;0.0825
6205403;0.1105
6213324;0.1049
6222047;0.1065
6229723;0.1079
623709;0.0851
6245826;0.0763
6253473;0.0766
6261844;0.0382
6269444;0.0352
6277684;0.0127
6286409;0.0501
6293604;0.0440
6306362;0.0445
6309321;0.0324
6319528;0.0057
6326029;0.0006
6335828;-0.0018
6341766;-0.0034
6349648;0.0364
6358213;0.0407
6365823;0.0407
6374057;0.0196
6381132;0.0442
638952;0.0401
6397558;0.0406
6405522;0.0385
6414018;0.0481
6421659;0.0215
6429411;0.0186
6437511;-0.0014
6446167;0.0266
6458755;0.0380
6461605;0.0661
6470555;0.0656
6477105;0.0389
6490328;0.0412
6493618;0.0528
6503621;0.0167
6509779;-0.0072
6519669;0.0051
652483;-0.0111
6535287;-0.0035
6541617;-0.0129
6549362;-0.0176
6558184;-0.0058
656566;-0.0064
6573985;-0.0003
6581814;-0.0036
6589313;0.0381
659765;0.0648
6605874;0.0649
6613724;0.1295
6620968;0.1301
6629804;0.0856
6637861;0.0440
6645788;0.0100
6653386;-0.0002
6661578;0.0035
6669373;-0.0052
6677628;-0.0237
6686078;-0.0469
6693499;-0.0696
6703037;-0.0584
6709911;-0.0659
6722145;-0.0493
6725556;-0.0085
673658;0.0637
6741386;0.0935
6749532;0.1215
6757983;0.1263
6765431;0.1385
6773954;0.1388
6781737;0.1025
6789529;0.1107
6797917;0.1154
6806544;0.1095
6812749;0.0837
6821337;0.0693
6829801;0.0212
6837538;0.0065
684529;-0.0008
6854406;-0.0271
686113;-0.0339
6870082;-0.0788
6877807;-0.0684
6886283;-0.0647
6893958;-0.0726
690299;-0.0496
690899;-0.0366
6922381;-0.0165
692552;-0.0089
6935743;-0.0113
6941656;0.0123
6949738;0.0407
6957202;0.0288
696553;0.0316
6973858;0.0774
6981121;0.0754
698993;0.0757
6998029;0.0594
7004942;0.0382
70141;0.0436
7021596;0.0252
7029401;0.0171
7037509;0.0242
